uid,admiraltyCode,motivation,subject,researcherComments,rawText,rawTextTranslated,created,dateOfInformation,sourceCharacterization,similarReports.uid,similarReports.admiraltyCode,similarReports.motivation,similarReports.subject,similarReports.dateOfInformation,similarReports.sourceCharacterization,similarReports.portalReportUrl,entities.type,entities.value,derivedEntities.type,derivedEntities.value,locations.region,locations.country,locations.link,tags,portalReportUrl,lastUpdated,actorSubjectsOfReport.handle,reportAttachments.fileName,reportAttachments.url,reportAttachments.fileSize
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,Handle,trafimer,Handle,Cerberus,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,Handle,Xrenovi4,Handle,Cerberus Bot,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,cyberbob,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,DEADC0DE,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,demencukigor49,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,FreeWar,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,goidini,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,j3r0nim0,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,Kwanza,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,m_vs_m,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,mem0,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,PokemonGo,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,rello,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,RonaldRuck,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,Sochi,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,Sparteam,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,sparteam,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,st1x0,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Handle,stan86,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,IPAddress,95.217.10.207,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Jabber,androiddev@thesecure.biz,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Jabber,androidsupport2@thesecure.biz,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Jabber,androidsupport@thesecure.biz,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Jabber,benibn77@exploit.im,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Jabber,rello@exploit.im,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Phone,79998105711,,,,,,,,,,
6123fe17fbc6dd7e3564502b00952d7eefb675a1e9263809d993a7a71af5d187,,,,,,,,,,,,,,,,,,,Twitter,twitter.com/AndroidCerberus,,,,,,,,,,
